family,diameter,length,length_in,bolt_nut_lb_per_100,washer_lb_per_100,set_weight_each_lb,source
A325 Bolt Set,1-1/8,5,5.0,244,11.3,2.553,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/4,5,5.0,315,13.8,3.288,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-3/8,5,5.0,395,16.8,4.118,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/2,5,5.0,490,20.0,5.1,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1/2,5-1/4,5.25,39.9,2.1,0.42,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,5/8,5-1/4,5.25,65.5,3.6,0.691,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,3/4,5-1/4,5.25,98.9,4.8,1.037,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,7/8,5-1/4,5.25,141,7.0,1.48,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1,5-1/4,5.25,190,9.4,1.994,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/8,5-1/4,5.25,251,11.3,2.623,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/4,5-1/4,5.25,324,13.8,3.378,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-3/8,5-1/4,5.25,405,16.8,4.218,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/2,5-1/4,5.25,503,20.0,5.23,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1/2,5-1/2,5.5,41.2,2.1,0.433,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,5/8,5-1/2,5.5,67.7,3.6,0.713,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,3/4,5-1/2,5.5,102,4.8,1.068,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,7/8,5-1/2,5.5,146,7.0,1.53,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1,5-1/2,5.5,196,9.4,2.054,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/8,5-1/2,5.5,258,11.3,2.693,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/4,5-1/2,5.5,332,13.8,3.458,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-3/8,5-1/2,5.5,416,16.8,4.328,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/2,5-1/2,5.5,515,20.0,5.35,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1/2,5-3/4,5.75,42.6,2.1,0.447,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,5/8,5-3/4,5.75,69.8,3.6,0.734,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,3/4,5-3/4,5.75,105,4.8,1.098,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,7/8,5-3/4,5.75,150,7.0,1.57,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1,5-3/4,5.75,201,9.4,2.104,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/8,5-3/4,5.75,265,11.3,2.763,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/4,5-3/4,5.75,341,13.8,3.548,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-3/8,5-3/4,5.75,426,16.8,4.428,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/2,5-3/4,5.75,527,20.0,5.47,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1/2,6,6.0,44.0,2.1,0.461,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,5/8,6,6.0,71.9,3.6,0.755,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,3/4,6,6.0,108,4.8,1.128,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,7/8,6,6.0,154,7.0,1.61,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1,6,6.0,207,9.4,2.164,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/8,6,6.0,272,11.3,2.833,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/4,6,6.0,349,13.8,3.628,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-3/8,6,6.0,437,16.8,4.538,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/2,6,6.0,540,20.0,5.6,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,5/8,6-1/4,6.25,74.1,3.6,0.777,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,3/4,6-1/4,6.25,111,4.8,1.158,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,7/8,6-1/4,6.25,158,7.0,1.65,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1,6-1/4,6.25,212,9.4,2.214,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/8,6-1/4,6.25,279,11.3,2.903,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/4,6-1/4,6.25,358,13.8,3.718,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-3/8,6-1/4,6.25,447,16.8,4.638,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/2,6-1/4,6.25,552,20.0,5.72,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,5/8,6-1/2,6.5,76.3,3.6,0.799,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,3/4,6-1/2,6.5,114,4.8,1.188,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,7/8,6-1/2,6.5,163,7.0,1.7,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1,6-1/2,6.5,218,9.4,2.274,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/8,6-1/2,6.5,286,11.3,2.973,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/4,6-1/2,6.5,367,13.8,3.808,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-3/8,6-1/2,6.5,458,16.8,4.748,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/2,6-1/2,6.5,565,20.0,5.85,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,5/8,6-3/4,6.75,78.5,3.6,0.821,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,3/4,6-3/4,6.75,118,4.8,1.228,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,7/8,6-3/4,6.75,167,7.0,1.74,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1,6-3/4,6.75,223,9.4,2.324,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/8,6-3/4,6.75,293,11.3,3.043,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/4,6-3/4,6.75,375,13.8,3.888,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-3/8,6-3/4,6.75,468,16.8,4.848,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/2,6-3/4,6.75,577,20.0,5.97,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,5/8,7,7.0,80.6,3.6,0.842,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,3/4,7,7.0,121,4.8,1.258,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,7/8,7,7.0,171,7.0,1.78,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1,7,7.0,229,9.4,2.384,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/8,7,7.0,300,11.3,3.113,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/4,7,7.0,384,13.8,3.978,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-3/8,7,7.0,479,16.8,4.958,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/2,7,7.0,589,20.0,6.09,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,5/8,7-1/4,7.25,82.8,3.6,0.864,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,3/4,7-1/4,7.25,124,4.8,1.288,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,7/8,7-1/4,7.25,175,7.0,1.82,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1,7-1/4,7.25,234,9.4,2.434,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/8,7-1/4,7.25,307,11.3,3.183,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/4,7-1/4,7.25,392,13.8,4.058,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-3/8,7-1/4,7.25,489,16.8,5.058,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/2,7-1/4,7.25,602,20.0,6.22,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,5/8,7-1/2,7.5,84.9,3.6,0.885,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,3/4,7-1/2,7.5,127,4.8,1.318,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,7/8,7-1/2,7.5,179,7.0,1.86,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1,7-1/2,7.5,240,9.4,2.494,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/8,7-1/2,7.5,314,11.3,3.253,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/4,7-1/2,7.5,401,13.8,4.148,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-3/8,7-1/2,7.5,500,16.8,5.168,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/2,7-1/2,7.5,614,20.0,6.34,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,5/8,7-3/4,7.75,87.1,3.6,0.907,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,3/4,7-3/4,7.75,130,4.8,1.348,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,7/8,7-3/4,7.75,183,7.0,1.9,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1,7-3/4,7.75,246,9.4,2.554,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/8,7-3/4,7.75,321,11.3,3.323,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/4,7-3/4,7.75,410,13.8,4.238,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-3/8,7-3/4,7.75,510,16.8,5.268,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/2,7-3/4,7.75,626,20.0,6.46,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,5/8,8,8.0,89.2,3.6,0.928,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,3/4,8,8.0,133,4.8,1.378,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,7/8,8,8.0,187,7.0,1.94,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1,8,8.0,251,9.4,2.604,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/8,8,8.0,328,11.3,3.393,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/4,8,8.0,418,13.8,4.318,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-3/8,8,8.0,521,16.8,5.378,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/2,8,8.0,639,20.0,6.59,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,7/8,8-1/4,8.25,192,7.0,1.99,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1,8-1/4,8.25,257,9.4,2.664,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/8,8-1/4,8.25,335,11.3,3.463,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/4,8-1/4,8.25,427,13.8,4.408,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-3/8,8-1/4,8.25,531,16.8,5.478,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/2,8-1/4,8.25,651,20.0,6.71,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,7/8,8-1/2,8.5,196,7.0,2.03,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1,8-1/2,8.5,262,9.4,2.714,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/8,8-1/2,8.5,342,11.3,3.533,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/4,8-1/2,8.5,435,13.8,4.488,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-3/8,8-1/2,8.5,542,16.8,5.588,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/2,8-1/2,8.5,664,20.0,6.84,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/4,8-3/4,8.75,444,13.8,4.578,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-3/8,8-3/4,8.75,552,16.8,5.688,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/2,8-3/4,8.75,676,20.0,6.96,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/4,9,9.0,453,13.8,4.668,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-3/8,9,9.0,563,16.8,5.798,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/2,9,9.0,689,20.0,7.09,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1/2,per inch additional,,5.5,2.1,,adder per inch of length beyond the table (lb/100)
A325 Bolt Set,5/8,per inch additional,,8.6,3.6,,adder per inch of length beyond the table (lb/100)
A325 Bolt Set,3/4,per inch additional,,12.4,4.8,,adder per inch of length beyond the table (lb/100)
A325 Bolt Set,7/8,per inch additional,,16.9,7.0,,adder per inch of length beyond the table (lb/100)
A325 Bolt Set,1,per inch additional,,22.1,9.4,,adder per inch of length beyond the table (lb/100)
A325 Bolt Set,1-1/8,per inch additional,,28.0,11.3,,adder per inch of length beyond the table (lb/100)
A325 Bolt Set,1-1/4,per inch additional,,34.4,13.8,,adder per inch of length beyond the table (lb/100)
A325 Bolt Set,1-3/8,per inch additional,,42.5,16.8,,adder per inch of length beyond the table (lb/100)
A325 Bolt Set,1-1/2,per inch additional,,49.7,20.0,,adder per inch of length beyond the table (lb/100)
